UUID,Risk ID,PaddyAreaInfo_ID,R_Confidence,Happened,Action
177,1,51,0.16,TRUE,FALSE
178,1,81,0.63,TRUE,TRUE
179,3,92,0.24,FALSE,TRUE
180,3,44,0.16,TRUE,FALSE
181,5,65,0.25,FALSE,FALSE
182,4,29,0.11,TRUE,TRUE
183,5,25,0.29,FALSE,FALSE
184,5,49,0.87,TRUE,FALSE
185,5,32,0.18,TRUE,FALSE
186,2,56,0.48,FALSE,FALSE
187,3,99,0.63,FALSE,TRUE
188,5,19,0.59,FALSE,FALSE
189,2,50,0.55,TRUE,TRUE
190,5,43,0.16,TRUE,TRUE
191,4,44,0.82,FALSE,FALSE
192,2,15,0.43,TRUE,TRUE
193,3,90,0.72,TRUE,TRUE
194,5,4,0.88,FALSE,FALSE
195,4,91,0.57,TRUE,FALSE
196,4,75,0.16,TRUE,FALSE
197,5,32,0.72,TRUE,FALSE
198,3,18,0.72,TRUE,FALSE
199,3,67,0.73,TRUE,FALSE
200,5,10,0.67,TRUE,TRUE
201,2,64,0.52,FALSE,FALSE
202,3,35,0.39,FALSE,TRUE
203,4,73,0.29,FALSE,TRUE
204,5,47,0.67,TRUE,FALSE
205,1,79,0.88,TRUE,TRUE
206,1,10,0.67,TRUE,TRUE
207,3,33,0.67,TRUE,TRUE
208,1,46,0.39,FALSE,TRUE
209,1,86,0.25,FALSE,TRUE
210,1,8,0.39,FALSE,TRUE
211,2,87,0.16,TRUE,TRUE
212,3,57,0.63,FALSE,TRUE
213,2,11,0.39,FALSE,FALSE
214,5,76,0.76,TRUE,FALSE
215,5,59,0.48,TRUE,TRUE
216,2,91,0.73,TRUE,TRUE
217,4,89,0.74,TRUE,FALSE
218,2,13,0.63,FALSE,FALSE
219,3,38,0.71,FALSE,TRUE
220,1,47,0.28,FALSE,FALSE
221,1,90,0.14,FALSE,FALSE
222,4,34,0.35,TRUE,TRUE
223,1,50,0.25,FALSE,FALSE
224,2,98,0.26,TRUE,TRUE
225,3,90,0.29,FALSE,FALSE
226,5,8,0.22,FALSE,TRUE
227,2,13,0.72,TRUE,TRUE
228,5,2,0.39,TRUE,TRUE
229,5,39,0.48,TRUE,TRUE
230,2,66,0.67,TRUE,FALSE
231,1,38,0.16,TRUE,TRUE
232,5,2,0.67,TRUE,FALSE
233,3,68,0.7,FALSE,FALSE
234,4,100,0.58,TRUE,TRUE
235,1,88,0.72,TRUE,TRUE
236,4,95,0.46,FALSE,TRUE
237,3,78,0.78,TRUE,TRUE
238,1,42,0.45,FALSE,TRUE
239,1,59,0.39,FALSE,TRUE
240,3,81,0.39,FALSE,FALSE
