UUID,Date/Time,Paddy Area ID,Paddy Height (m),Humidity (gram/kg),Temperature (celcius),Water Level (m),Soil Nitrogen (mg/kg),Soil Phosphorous (mg/kg),Soil Potassium (mg/kg),Soil pH,Paddy Images
41,7/10/2021 10:42,A1,1.87,19.46,30.89,0.07,24.52,43.01,42.89,6.87,./dummy_data/image/paddy.jpg
42,7/10/2021 12:58,A2,1.08,17.06,27.44,0,43.76,43.82,41.32,7.18,./dummy_data/image/paddy.jpg
43,7/10/2021 13:49,A3,0.74,26.16,33.54,0.01,48.51,42.33,35.97,5.43,./dummy_data/image/paddy.jpg
44,7/10/2021 11:55,A4,0.42,30.38,29.86,0.09,33.91,49.53,36.06,6.08,./dummy_data/image/paddy.jpg
45,7/10/2021 14:18,A5,0.15,18.57,26.41,0.01,40.22,49.54,41.33,6.32,./dummy_data/image/paddy.jpg
46,7/10/2021 14:52,A6,0.14,22.52,33.66,0.08,22.37,59.21,40.17,6.12,./dummy_data/image/paddy.jpg
47,7/10/2021 10:57,A7,1.69,29.84,34.93,0.06,15.8,39.77,37.37,6.44,./dummy_data/image/paddy.jpg
48,7/10/2021 13:33,A8,1.73,29.56,28.95,0.05,20.08,45.67,41.95,5.03,./dummy_data/image/paddy.jpg
49,7/10/2021 10:53,A9,0.29,33.04,26.04,0.03,44.9,47.32,37.24,7.15,./dummy_data/image/paddy.jpg
50,7/10/2021 8:27,A10,1.17,31.03,26.12,0.06,41.67,57.26,38.09,5.22,./dummy_data/image/paddy.jpg
51,7/17/2021 10:41,A1,1.79,31.85,30.75,0.05,32.41,41.61,39.25,6.09,./dummy_data/image/paddy.jpg
52,7/17/2021 11:09,A2,1.14,24.01,27.02,0.09,42.72,53.53,43.95,7.3,./dummy_data/image/paddy.jpg
53,7/17/2021 10:27,A3,1.59,22.7,28.94,0,10.23,59.33,41.16,5.08,./dummy_data/image/paddy.jpg
54,7/17/2021 10:37,A4,1.95,16.94,33.97,0.09,49.26,46.34,40.52,5.24,./dummy_data/image/paddy.jpg
55,7/17/2021 14:46,A5,0.43,29.73,31.39,0.07,48.11,57.51,41.67,6.74,./dummy_data/image/paddy.jpg
56,7/17/2021 11:05,A6,1.37,26.74,28.61,0.06,10.6,35.52,35.59,6.15,./dummy_data/image/paddy.jpg
57,7/17/2021 11:41,A7,1.57,31.16,29.53,0.05,24.51,37.81,38.81,6.76,./dummy_data/image/paddy.jpg
58,7/17/2021 8:48,A8,0.57,32.45,33.12,0.1,14.99,41.01,36.44,6.72,./dummy_data/image/paddy.jpg
59,7/17/2021 13:03,A9,0.51,26.38,27,0.06,42.64,52.55,43.86,5.49,./dummy_data/image/paddy.jpg
60,7/17/2021 10:46,A10,0.56,26.49,34.51,0.06,33.76,51.93,43.67,6.83,./dummy_data/image/paddy.jpg
61,7/24/2021 8:37,A1,0.14,19.25,34.41,0,14.28,40.94,41.86,5.52,./dummy_data/image/paddy.jpg
62,7/24/2021 10:26,A2,1.46,18.78,27.38,0.1,29.8,47.95,37.39,5.38,./dummy_data/image/paddy.jpg
63,7/24/2021 9:15,A3,1.57,29.95,28.5,0.09,37.43,45.99,40.92,6.8,./dummy_data/image/paddy.jpg
64,7/24/2021 11:31,A4,0.13,26.56,26.54,0.05,47.08,46.63,43.34,6.94,./dummy_data/image/paddy.jpg
65,7/24/2021 12:22,A5,0.54,16.7,26.22,0.1,28.95,58.9,41.21,5.55,./dummy_data/image/paddy.jpg
66,7/24/2021 12:51,A6,1.34,32.61,28.26,0.02,40.08,39.34,40.37,5.75,./dummy_data/image/paddy.jpg
67,7/24/2021 8:25,A7,0.13,26.26,32.7,0.04,41.9,42.23,44.58,5.93,./dummy_data/image/paddy.jpg
68,7/24/2021 11:21,A8,1.73,29.71,33.38,0.05,37.62,57.14,37.16,6.9,./dummy_data/image/paddy.jpg
69,7/24/2021 10:51,A9,1.4,28.77,29.45,0.03,20.99,44.52,42.9,6.8,./dummy_data/image/paddy.jpg
70,7/24/2021 10:56,A10,1.23,28.1,29.6,0.06,43.54,39.87,40.26,7.15,./dummy_data/image/paddy.jpg
71,7/31/2021 9:00,A1,0.8,17.2,29.6,0.03,24.17,46.92,41.68,5.64,./dummy_data/image/paddy.jpg
72,7/31/2021 13:41,A2,0.47,18.96,28.64,0.03,31.65,35.65,37.42,6.43,./dummy_data/image/paddy.jpg
73,7/31/2021 13:06,A3,0.38,17.13,34.79,0.07,26.14,43.55,43.12,7.16,./dummy_data/image/paddy.jpg
74,7/31/2021 12:36,A4,0.03,34.59,33.99,0.01,31.35,37.5,37.62,6.71,./dummy_data/image/paddy.jpg
75,7/31/2021 8:19,A5,1.53,23.37,27.2,0.09,25.75,39.39,42.69,5.72,./dummy_data/image/paddy.jpg
76,7/31/2021 12:02,A6,0.9,26.34,30.29,0.09,30.23,44.84,38.02,6.79,./dummy_data/image/paddy.jpg
77,7/31/2021 14:59,A7,1.54,15.16,32.33,0.04,30.41,38.92,39.7,7.06,./dummy_data/image/paddy.jpg
78,7/31/2021 9:22,A8,1.75,22.78,28.07,0.09,44.38,35.36,43.27,6.81,./dummy_data/image/paddy.jpg
79,7/31/2021 13:16,A9,1.61,34.79,31.29,0.03,16.03,36.4,40.36,6.98,./dummy_data/image/paddy.jpg
80,7/31/2021 10:37,A10,1.64,19.25,32.79,0.08,46.82,39.23,41.3,6.87,./dummy_data/image/paddy.jpg
81,8/7/2021 12:27,A1,1.95,15.35,33.89,0.02,37.43,39.83,43.2,7.35,./dummy_data/image/paddy.jpg
82,8/7/2021 8:29,A2,1.26,23.47,27.13,0.07,40.74,46.02,38.11,5.36,./dummy_data/image/paddy.jpg
83,8/7/2021 12:17,A3,1.56,19.44,27.61,0.06,11.09,43.26,39.81,7.27,./dummy_data/image/paddy.jpg
84,8/7/2021 8:07,A4,0.97,30.46,30.27,0,39.83,59.56,35.66,6.18,./dummy_data/image/paddy.jpg
85,8/7/2021 14:48,A5,1.97,24.48,27.33,0.02,29.25,56.41,39.65,7.18,./dummy_data/image/paddy.jpg
86,8/7/2021 11:50,A6,0.4,28.82,25.24,0.03,24.35,56.27,42.14,7.1,./dummy_data/image/paddy.jpg
87,8/7/2021 8:07,A7,1.1,31.08,28.46,0.07,32,37.91,38.92,5.72,./dummy_data/image/paddy.jpg
88,8/7/2021 11:55,A8,1.58,16.18,32.6,0.08,45.21,46.1,35.71,7.37,./dummy_data/image/paddy.jpg
89,8/7/2021 9:01,A9,1.68,16.75,27.9,0.04,39.42,53.55,35.48,5.15,./dummy_data/image/paddy.jpg
90,8/7/2021 10:34,A10,1.23,31.75,29.13,0.08,31.43,50.05,44.47,6.95,./dummy_data/image/paddy.jpg
91,8/14/2021 11:44,A1,0.18,30.69,26.94,0.09,44.92,45.48,40.43,5.39,./dummy_data/image/paddy.jpg
92,8/14/2021 12:01,A2,0.74,29.14,32.57,0.03,21.97,39.72,38.18,6.31,./dummy_data/image/paddy.jpg
93,8/14/2021 8:03,A3,0.84,18.43,25.2,0.03,40.32,41.43,40.34,6.68,./dummy_data/image/paddy.jpg
94,8/14/2021 13:15,A4,0.02,20.06,32.41,0.03,36.59,36.98,42.56,7.25,./dummy_data/image/paddy.jpg
95,8/14/2021 14:19,A5,1.83,18.87,31.98,0,47.22,49.86,38.11,7.34,./dummy_data/image/paddy.jpg
96,8/14/2021 12:54,A6,1.78,32.19,29.41,0.03,24.77,50.86,43.5,5.45,./dummy_data/image/paddy.jpg
97,8/14/2021 10:26,A7,0.71,25.22,29.78,0.09,39.91,43.76,44.25,5.71,./dummy_data/image/paddy.jpg
98,8/14/2021 14:45,A8,0.26,20.65,27.54,0.08,21.13,42.4,36.14,6.07,./dummy_data/image/paddy.jpg
99,8/14/2021 10:33,A9,1.7,20.71,27.89,0.08,10.93,48.13,38.31,5.59,./dummy_data/image/paddy.jpg
100,8/14/2021 14:02,A10,1.31,22.3,33.39,0.06,33.93,55.22,39.91,6.58,./dummy_data/image/paddy.jpg
